date,description,amount,current_installment,total_installments,category
2026-07-08,KILBEL SA,42883.74,1,1,Supermercado
2026-07-15,KILBEL SRL,41078.08,1,1,Supermercado
2026-07-22,KILBEL SRL,34836.43,1,1,Supermercado
2026-07-25,PEDIDOSYA*MARKET,23160.53,1,1,Supermercado
2026-07-25,PEDIDOSYA*EXTRA,659.78,1,1,Gastronomía
2026-07-26,LITORAL GAS SA,15132.33,1,1,Servicios
2026-07-27,PEDIDOSYA*MARKET,22906.74,1,1,Supermercado
2026-07-28,PEDIDOSYA*BURGER KING R,11440.00,1,1,Gastronomía
2026-07-29,KILBEL SA,33813.60,1,1,Supermercado
2026-07-30,IMPUESTO DE SELLOS,225.91,1,1,Impuestos
